Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,231.570007,231.570007,231.570007,231.570007,220.163071,0
2017-09-14,231.389999,231.389999,231.389999,231.389999,219.991928,0
2017-09-15,231.839996,231.839996,231.839996,231.839996,220.419739,0
2017-09-18,232.190002,232.190002,232.190002,232.190002,220.752518,0
2017-09-19,231.320007,231.320007,231.320007,231.320007,220.999954,0
2017-09-20,231.460007,231.460007,231.460007,231.460007,221.133728,0
2017-09-21,230.770004,230.770004,230.770004,230.770004,220.474487,0
2017-09-22,230.919998,230.919998,230.919998,230.919998,220.617783,0
2017-09-25,230.399994,230.399994,230.399994,230.399994,220.121002,0
2017-09-26,230.440002,230.440002,230.440002,230.440002,220.159225,0
2017-09-27,231.380005,231.380005,231.380005,231.380005,221.057266,0
2017-09-28,231.699997,231.699997,231.699997,231.699997,221.363007,0
2017-09-29,232.570007,232.570007,232.570007,232.570007,222.194199,0
2017-10-02,233.470001,233.470001,233.470001,233.470001,223.054031,0
2017-10-03,233.979996,233.979996,233.979996,233.979996,223.541260,0
2017-10-04,234.289993,234.289993,234.289993,234.289993,223.837448,0
2017-10-05,235.649994,235.649994,235.649994,235.649994,225.136780,0
2017-10-06,235.470001,235.470001,235.470001,235.470001,224.964783,0
2017-10-09,235.039993,235.039993,235.039993,235.039993,224.553970,0
2017-10-10,235.589996,235.589996,235.589996,235.589996,225.079422,0
2017-10-11,236.020004,236.020004,236.020004,236.020004,225.490250,0
2017-10-12,235.639999,235.639999,235.639999,235.639999,225.127213,0
2017-10-13,235.850006,235.850006,235.850006,235.850006,225.327866,0
2017-10-16,236.270004,236.270004,236.270004,236.270004,225.729126,0
2017-10-17,236.419998,236.419998,236.419998,236.419998,225.872421,0
2017-10-18,236.610001,236.610001,236.610001,236.610001,226.053925,0
2017-10-19,236.699997,236.699997,236.699997,236.699997,226.139938,0
2017-10-20,237.929993,237.929993,237.929993,237.929993,227.315063,0
2017-10-23,236.990005,236.990005,236.990005,236.990005,226.416992,0
2017-10-24,237.380005,237.380005,237.380005,237.380005,226.789597,0
2017-10-25,236.270004,236.270004,236.270004,236.270004,225.729126,0
2017-10-26,236.570007,236.570007,236.570007,236.570007,226.015717,0
2017-10-27,238.479996,238.479996,238.479996,238.479996,227.840469,0
2017-10-30,237.729996,237.729996,237.729996,237.729996,227.123978,0
2017-10-31,237.960007,237.960007,237.960007,237.960007,227.343719,0
2017-11-01,238.339996,238.339996,238.339996,238.339996,227.706757,0
2017-11-02,238.410004,238.410004,238.410004,238.410004,227.773636,0
2017-11-03,239.169998,239.169998,239.169998,239.169998,228.499725,0
2017-11-06,239.500000,239.500000,239.500000,239.500000,228.815002,0
2017-11-07,239.449997,239.449997,239.449997,239.449997,228.767227,0
